"","stat.socio","dwelling.size","dwelling.tenure2","region.f","state.f","municipality.pop","ac.acquire","total_niv","material.wall","material.roof","material.floor","antigua","cuart_dorm","fridge.adopt","washing.adopt","iron.adopt","tv.adopt","celphone.adopt","fan.adopt","cons.month.kwh.hig1"
"1","mid-high","<201m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",40,5,"Yes","Yes","Yes","Yes","Yes","Yes",129.154069375084
"17","mid-low","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"adobe","concrete","cement",50,3,"No","Yes","No","Yes","No","No",52.8609201480698
"21","mid-high","151-200m2","Borrowed","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","No","Yes","Yes","Yes",142.31966006424
"23","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",30,2,"Yes","Yes","Yes","Yes","Yes","Yes",108.572344445944
"24","mid-high","76-100m2","Owned","Temperate","Aguascalientes",">100k","No",1,"brick","concrete","wood/mosaic",45,2,"Yes","Yes","Yes","Yes","Yes","Yes",75.9100418410042
"25","mid-high","76-100m2","Rented","Temperate","Aguascalientes",">100k","No",1,"adobe","concrete","wood/mosaic",99,2,"Yes","Yes","Yes","Yes","Yes","Yes",88.4380483196113
"26","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",1,"adobe","concrete","cement",99,3,"Yes","Yes","Yes","Yes","Yes","No",91.4375373580395
"27","mid-high","101-150m2","Owned","Temperate","Aguascalientes",">100k","No",2,"adobe","concrete","wood/mosaic",63,6,"Yes","Yes","Yes","Yes","Yes","Yes",163.763048715203
"28","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",50,4,"Yes","Yes","Yes","Yes","Yes","Yes",252.243213372936
"29","mid-high","151-200m2","Owned","Temperate","Aguascalientes",">100k","No",2,"brick","concrete","wood/mosaic",50,2,"Yes","Yes","Yes","Yes","Yes","Yes",141.561062940991
